0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
君子之仕 也。邦有道，其言足以興 ；邦無道，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317a2,,,,,,,,,,,,,,,,,,4310,2544,4351,3838,5009,2879,3514,3448,1718,1879,3591,3514,5283,3709,3926,5635,4633,,𗋕,𘝳,𘃽,𗩱,𘘦,𘀈,𗣟,𗤁,𘕕,𗑝,𗤢,𗣟,𗗙,𗨁,𗫻,𘔼,𗖸,,thja1,mjɨ2,·o2,njwi2,tśhjwo1,phu1,wjijr1,tśhjiw1,sọ1,tsewr1,bji2,wjijr1,·jij1,phju2,dźjiij1,nioow1,ŋwuu1,
其,默,容 ,足以。,故,坤,卦,六,三,爻 ，,下,卦,於,上,居,因；,曰：,,其默足以容。故坤之六三居下卦之上，則曰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317a3,,,,,,,,,,,,,,,,,,,4496,2245,972,3448,3509,590,146,2373,1567,5635,4633,776,3067,2043,5384,4243,,,𘄡,𗭼,𘜶,𗤁,𗥃,𗍫,𗶇,𘂳,𗁁 ,𘔼,𗖸,𗞩,𗇒,𗓷,𗳩,𗊱,
,sjịj2,swew1,tha2,tśhjiw1,ljɨɨr1,njɨɨ1,dẹ1,źja1,wjij2,nioow1,ŋwuu1,nji-,śja1,khjwã1,·o1,dzjo2,,,智,光,大。,六,四,二,陰,間,居,因，,曰：,囊,括。,[卷],[阿],詩,,「知光大 」 ；六四居二陰之間 ，則曰「括囊」 。《卷阿之什》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317a4,,,,,,,,,,,,,,,,,,,1738,4633,5531,1379,3902,1379,5687,4243,1738,4633,4496,1491,3039,3510,1195,1197,
,𘂤,𗖸,𗉫,𗄼,𗨮,𗄼,𗤡,𗊱,𘂤,𗖸,𘄡,𗅋,𗭩,𗤋,𘈬,𘈫,,,kha1,ŋwuu1,kheej1,lja1,kjạ2,lja1,gjii1,dzjo2,kha1,ŋwuu1,sjịj2,mji1,wẹ1,mjij1,djiij2,·u2,,,中,曰：,游,來，,歌,來。,[抑],詩,中,曰：,智,不,愚,無。,[甯],[武],,則曰：「來游來歌 」〈抑〉之章則曰：「靡哲不愚 」「武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317a5,,,,,,,,,,,,,,,,,
,1724,1594,173,5753,4724,4496,1594,1491,173,4724,3039,2350,2214,4777,4911,1738,,,𘕘,𗂧,𗵘,𗿷,𘅍,𘄡,𗂧,𗅋,𗵘,𘅍,𗭩,𘍞,𘌽,𘅣,𘜘,𘂤,,,tsə1,lhjịj2,tśja1,dźjij2,zjịj1,sjịj2,lhjịj2,mji1,tśja1,zjịj1,wẹ1,·io1,thjɨ2,dạ2,rjir1,kha1,,,[子],邦,道,有,時，,智；,國,不,道,時，,愚。,蓋,此,事,得,中 ,,子，邦有道則知，無道則愚。」蓋得諸此,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0317a6,,,,,,,,,,,,,,,,,,,4475,2934,197,2422,4012,1785,1594,173,5753,4724,1491,3767,1594,1491,173,4724,,,𗰛,𗇋,𘟂,𘃞,𗽮,𗑁,𗂧,𗵘,𗿷,𘅍,𗅋,𗫩 ,𗂧,𗅋,𗵘,𘅍,,,dzjịj1,mjijr2,ŋwu2,ljɨ1,na1 ,·jow2,lhjịj2,tśja1,dźjij2,zjịj1,mji1,dźjɨɨr1,lhjịj2,mji1,tśja1,zjịj1,,,過,者,COP,也。,[南],[容],邦,道,有,時；,不,離。,國,不,道,時，,,而過之者也 。南容 ，邦有道不廢，邦無道,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0317a7,,,,,,,,,,,,,,,,,,,638,4558,1738,1491,2481,197,2422,2770,119,1594,173,5753,4724,3538,659,1594,,,𗍝,𗈙,𘂤,𗅋,𘍴,𘟂,𘃞,𘏸,𗘼,𗂧,𗵘,𗿷,𘅍,𗾯,𗍊,𗂧,,,·ioow1,tśjuu1,kha1,mji1,ljị1,ŋwu2,ljɨ1,śiə1,gjuu1,lhjịj2,tśja1,dźjij2,zjịj1,bọ2,sju2,lhjịj2,,,刑　戮,,中,不,入,是,也。,[史],[魚],邦,道,有,時，,矢,如。,邦,
免於刑戮而已。史魚 ，邦有道如矢，邦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317a8,,,,,,,,,,,,,,,,,,,1491,173,1730,3538,659,197,2422,5689,1693,119,1594,173,5753,4724,1553,2413,,,𗅋,𗵘,𘂆,𗾯,𗍊,𘟂,𘃞,𗿄,𘌜,𗘼,𗂧,𗵘,𗿷,𘅍,𗂸,𘃡,,,mji1,tśja1,tsjɨ1,bọ2,sju2,ŋwu2,ljɨ1,khju2,pie1,gjuu1,lhjịj2,tśja1,dźjij2,zjịj1,bji2,wji1,
,不,道,亦；,矢,如,COP,也。,[蘧],[伯],[玉],國,道,有,時，,臣,為；,,無道亦如矢而已；伯玉，邦有道則仕，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317b1,,,,,,,,,,,,,,,,,,,1594,1491,173,4724,2769,1967,1553,1491,2413,197,2422,□,□,□,□,□,,,𗂧,𗅋,𗵘,𘅍,𘐳,𗔠,𗂸,𗅋,𘃡,𘟂,𘃞,□,□,□,□,□,
,lhjịj2,mji1,tśja1,zjịj1,---,sju1,bji2,mji1,wji1,ŋwu2,ljɨ1,□,□,□,□,□,,,國,不,道,時，,卷,懷,臣,不,為,是,也。,□,□,□,□,□,,邦無道則卷懷  而已。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317b2,,,,,,,,,,,,,,,,,,,□,3612,3838,3401,2413,2422,4689,1724,4633,□,□,□,□,□,□,□,
,□,𗫂,𗩱,𗣓,𘃡,𘃞,𗈝,𘕘,𗖸,□,□,□,□,□,□,□,,,□,tja1,njwi2,gie1,wji1,ljɨ1,tsẹ̃1,tsə1,ŋwuu1,□,□,□,□,□,□,□,,,□,者，,能,難,為,也。,[曾],[子],曰：,□,□,□,□,□,□,□,,（子游曰：吾友張也為）難能 也 。曾子曰：（孟莊子不）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0317b3,,,,,,,,,,,,,,,,,
,□,□,2073,3838,3401,197,4979,2214,□,□,□,□,□,□,□,□,,,□,□,𗓆,𗩱,𗣓,𘟂,𘘥,𘌽,□,□,□,□,□,□,□,□,,,□,□,ljij1,njwi2,gie1,ŋwu2,·jɨ2,thjɨ2,□,□,□,□,□,□,□,□,,,□,□,改,能,難,是,謂。,此 ,□,□,□,□,□,□,□,□,,改（父之臣與父之政）為難能也，然則（不可及者，其難能之謂歟）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0317b4,,,,,,,,,,,,,,,,,,,□,□,2422,5722,1724,5283,3039,□,□,□,□,□,□,□,□,□,,,□,□,𘃞,𗿖,𘕘,𗗙,𗭩,□,□,□,□,□,□,□,□,□,,,□,□,ljɨ1,ŋiaa2,tsə1,·jij1,wẹ1,□,□,□,□,□,□,□,□,□,,,□,□,也。,[顏],[子],於,愚,□,□,□,□,□,□,□,□,□,,顏子之如愚，（甯武子之愚有以異乎。）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0317b5,,,,,,,,,,,,,,,,,,,□,□,4633,3039,659,3612,□,□,□,□,□,□,□,□,□,□,,,□,□,𗖸,𗭩,𗍊,𗫂,□,□,□,□,□,□,□,□,□,□,,,□,□,ŋwuu1,wẹ1,sju2,tja1,□,□,□,□,□,□,□,□,□,□,,,□,□,曰：,愚,如,者，,□,□,□,□,□,□,□,□,□,□,
曰：「如愚，（可也；不可及，不可也。」不可及非中道也，此顏甯之愚所以不同。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b1,,,,,,,,,,,,,,,,,,,3732,5157,4250,1427,1146,5714,1086,3842,3326,309,4310,3797,3461,659,2214,2020,,,𗥞,𘒆,𗋸,𗅉,𗹑,𗾖,𗸱,𗤮,𗼉,𗟧,𗋕,𗩨,𗪆,𗍊,𘌽,𗑠,,,gjuu2,twej1,mja1,nioow1,tśjɨj1,goor1,no2,nwə-,sjwij1,rjir2,thja1,tsə̣1,sjwɨɨ1,sju2,thjɨ2,rjir2,
,救,累,而　後,,正。,孔　子,,賁　卦?,,獲；,其,色,憂,然。,此,與,,（故欲從先進 以救之以其，矯枉以直，）救時以正。孔子筮得賁卦，其色愀然，與此,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b2,,,,,,,,,,,,,,,,,,,5539,2834,5125,5251,1738,1955,455,2777,4724,5534,2020,4614,4979,1730,4918,3699,,,𗉣,𗯮,𘓆,𘒣,𘂤,𘝞,𘓷,𘎪,𘅍,𗉔,𗑠,𗖵,𘘥,𘂆,𘟣,𗪘,
,phji1,thwuu1,ljɨ̣1,dạ2,kha1,·jwɨr2,kwər1,tshjiij1,zjịj1,tśjiw1,rjir2,bju1,·jɨ2,tsjɨ1,dju1,sji1,,,意,同。,論　語,,中,文,質,說,時，,「[周],與,從」,謂,？,有。,「先,,仝意。《論語》之言，文質 有曰「從周 」、「從先 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b3,,,,,,,,,,,,,,,,,,,691,2020,4614,4979,1730,4918,420,420,4979,1730,4918,420,420,3612,173,5283,
,𗝾,𗑠,𗖵,𘘥,𘂆,𘟣,𘝇,𘝇,𘘥,𘂆,𘟣,𘝇,𘝇,𗫂,𗵘,𗗙,,,tjɨ̣j1,rjir2,bju1,·jɨ2,tsjɨ1,dju1,śjwii2,śjwii2,·jɨ2,tsjɨ1,dju1,śjwii2,śjwii2,tja1,tśja1,·jij1,,,進,與,從」,謂,？,有。,彬　彬,,謂,亦,有。,彬　彬,,者，,道,於,,進」，有曰「彬彬」。彬彬者，道之,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b4,,,,,,,,,,,,,,,,,
,5232,197,5534,2020,4614,3699,691,2020,4614,3612,5676,5283,5232,5232,3483,1738,,,𘇂,𘟂,𗉔,𗑠,𗖵,𗪘,𗝾,𗑠,𗖵,𗫂,𗿳,𗗙,𘇂,𘇂,𗧯,𘂤,,,gu2,ŋwu2,tśjiw1,rjir2,bju1,sji1,tjɨ̣j1,rjir2,bju1,tja1,dzjɨj1,·jij1,gu2,gu2,·jiij1,kha1,,,中,是。,[周],與,從，,先,進,與,從，,者，,時,於,中。,中,持,間，,,中；從周、從先進者，時之中。［《中庸》曰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0601b5,,,,,,,,,,,,,,,,,,,5676,5232,4979,3612,2704,197,2422,972,1363,1718,3355,2977,1175,4640,1537,5262,,,𗿳,𘇂,𘘥,𗫂,𘎤,𘟂,𘃞,𘜶,𗅇,𘕕,𗣼,𗭍,𗡶,𗖠,𗃎,𗗔,,,dzjɨj1,gu2,·jɨ2,tja1,tjɨ1,ŋwu2,ljɨ1,tha2,tjɨj2,sọ1,tśhja2,dźjịj1,śjij1,ŋwej2,·jijr1,·jiij1,,,時,中,謂,者，,一,COP,也。,洪　範,,三,德,施,法,燮,強,平 ,,「時中 」者，一也。］《洪範》三德，其施於爕強 平康 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0601b6,,,,,,,,,,,,,,,,,,,2439,1730,2214,2020,5087,2422,,,,,,,,,,,,,𘗕,𘂆,𘌽,𗑠,𘙰,𘃞,,,,,,,,,,,,,źiejr2,tsjɨ1,thjɨ2,rjir2,lew2,ljɨ1,,,,,,,,,,,,,安,亦,此,與,同,也。,,,,,,,,,,,
亦若是而已。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b7 ,,,,,,,,,,,,,,,,,,1086,4633,1213,1778,2114,3818,1763,4614,2934,6,2468,2530,3671,2422,3355,2543,5722,,𗸱,𗖸,𘔜,𗑰,𘋩,𗧓,𘕿,𗖵,𗇋,𗄊,𘗠,𘖑,𗫡,𘃞,𗣼,𘝦,𗿖,,no2,ŋwuu1,tśhjĩ1,tshej1,do2,ŋa2,ɣa2,bju1,mjijr2,zji2,ɣa1,mjɨ1,njɨ2,ljɨ1,tśhja2,dźjɨ̣2,ŋiaa2,
子,曰：,[陳],[蔡],處,我,於,從,者,皆,門,不,及,也。,德　行,,[顏],,子曰：從我於陳蔡者，皆不及門也。德行：顏淵、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601b8,,,,,,,,,,,,,,,,,,2427,1776,1724,3059,2539,1693,1854,4584,650,451,5251,2677,2047,1724,4101,X1562,4777,,𘃟,𗒝,𘕘,𘀺,𘎑,𘌜,𗒫,𗕸,𗌵,𗟲,𘒣,𘏾,𘁾,𘕘,𘓖,𗹒,𘅣,
·jwã1,mjĩ1,tsə1,khja2,źja2,pie1,gjiiw1,tśhjow1,kjow1,ŋwuu1,dạ2,tsẹj1,ŋwo2,tsə1,kow1,---,dạ2,,[淵]、,[閔], [子],[騫]、,[冉],[伯],[牛]、,[仲],[弓]。,言　語：,,[宰],[我]、,[子],[貢]。,政,事：,,閔子騫、冉伯牛、仲弓；言語：宰我、子貢；政事：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a1,,,,,,,,,,,,,,,,,,2539,4491,4752,3593,1955,3861,1724,4491,1724,4748,1086,4633,3762,3612,3818,4523,1348,
𘎑,𗰔,𘅧,𗥡,𘝞,𗫦,𘕘,𗰔,𘕘,𘒂,𗸱,𗖸,𗦃,𗫂,𗧓,𘑨,𗅔,,źja2,·jiw2,kjwi1,lu2,·jwɨr2,ɣiew1,tsə1,·jiw2,tsə1,xia1,no2,ŋwuu1,xwej2,tja1,ŋa2,·wu2,njaa2,,[冉],[有]、,[季],[路]。,文,學：,[子],[游]、,[子],[夏]。,子,曰：,[回],者，,我,助,非,,冉有、季路；文學：子游、子夏。子曰：「回也，非助我者也，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a2,,,,,,,,,,,,,,,,,
2422,4997,451,2114,1491,1629,3612,3510,,,,,,,,,,,𘃞,𘘮,𗟲,𘋩,𗅋,𘚻,𗫂,𗤋,,,,,,,,,,,ljɨ1,mjo2,ŋwuu1,do2,mji1,de2,tja1,mjij1,,,,,,,,,,,也。,吾,言,於,不,悅,者，,無。,,,,,,,,,,,於吾言無所不說 。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602a3,,,,,,,,,,,,,,,,,,,2468,3612,173,5283,1160,3695,3612,173,5283,3565,2468,1,924,1052,3695,4351,,,𘗠,𗫂,𗵘,𗗙,𗎘,𗤫,𗫂,𗵘,𗗙,𗤓,𘗠,𗄈,𗛛,𗶷,𗤫,𘃽,,,ɣa1,tja1,tśja1,·jij1,bju2,kjɨɨr2,tja1,tśja1,·jij1,thjoo1,ɣa1,śjwo1,kụ2,śjɨ1,kjɨɨr2,·o2,,,門,者，,道,於,微。,室,者，,道,於,妙。,門,自，,堂,徂，,室,入,,門者，道之微。室者，道之竗。自門以徂 堂，入室,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0602a4,,,,,,,,,,,,,,,,,,,1175,316,197,1160,1,3565,3671,173,4351,1175,2808,197,5714,1086,2468,2821,,,𗡶,𗟭 ,𘟂,𗎘,𗄈,𗤓,𗫡,𗵘,𘃽,𗡶,𘐡,𘟂,𗾖,𗸱,𘗠,𗯴,,,śjij1,wo2,ŋwu2,bju2,sjwo1,thjoo1,njɨ2,tśja1,·o2,śjij1,tśjɨɨ1,ŋwu2,goor1,no2,ɣa1,khju1,,,理,宜,也；,微,由，,妙,至，,道,入,法,序,也。,孔　子,,門,下,
之理也；由微以至妙，入道之序也。孔子之門，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a5,,,,,,,,,,,,,,,,,,,2427,3059,4143,3612,4614,1175,3358,2422,3671,1175,2055,2422,3709,1970,2778,2114,,,𘃟,𘀺,𗴮,𗫂,𗖵,𗡶,𗧥,𘃞,𗫡,𗡶,𗓰,𘃞,𗨁,𗒾,𘏚,𘋩,,,·jwã1,khja2,djịj1,tja1,bju1,śjij1,zjir2,ljɨ1,njɨ2,śjij1,na1,ljɨ1,phju2,me2,tjị2,do2,
,[淵]、,[騫],徒,者，,從,法,久,也。,至,法,深,也。,上,寐,置,所,,淵、騫之徒從之也久，造之也深。其上有至于在寢，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a6,,,,,,,,,,,,,,,,,,,3671,4918,3591,924,3667,1763,3671,4918,5009,3509,4729,3905,2413,1213,1778,2114,,,𗫡,𘟣,𗤢,𗛛,𗧊,𘕿,𗫡,𘟣,𘘦,𗥃,𘄿,𗣲,𘃡,𘔜,𗑰,𘋩,
,njɨ2,dju1,bji2,kụ2,to2,ɣa2,njɨ2,dju1,tśhjwo1,ljɨɨr1,tjij1,bio1,wji1,tśhjĩ1,tshej1,do2,,,至,有；,下,堂,升,於,至,有。,故,四,科,列,為。,[陳]、,[蔡],處,,其下有至于升堂，故列之四科。於陳蔡者，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a7,,,,,,,,,,,,,,,,,,,4614,2934,3612,4310,1420,3346,3612,5608,6,2468,2530,3671,5714,1086,5009,4652,
,𗖵,𗇋,𗫂,𗋕,𗄻,𗦇,𗫂,𗏡,𗄊,𘗠,𘖑,𗫡,𗾖,𗸱,𘘦,𗕿,,,bju1,mjijr2,tja1,thja1,nwə1,lew2,tja1,kụ1,zji2,ɣa1,mjɨ1,njɨ2,goor1,no2,tśhjwo1,njij2,,,從,人,者，,其,知,當,者，,後,皆,門,不,及。,孔　子,,故,慈,,則後其所從皆不及門，孔子所以憫之也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602a8,,,,,,,,,,,,,,,,,
,2549,2422,2350,3355,3612,2543,4614,177,451,3612,5251,4614,177,X1562,3612,4777,,,𘖛,𘃞,𘍞,𗣼,𗫂,𘝦,𗖵,𗵆,𗟲,𗫂,𘒣,𗖵,𗵆,𗹒,𗫂,𘅣,,,śjow1,ljɨ1,·io1,tśhja2,tja1,dźjɨ̣2,bju1,sjɨj1,ŋwuu1,tja1,dạ2,bju1,sjɨj1,---,tja1,dạ2,,,憫,也。,蓋,德,者，,行,以,成；,言,者，,語,以,成；,政,者，,事,,夫德則成之以行，言則成之以語，政則成之以事， ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602b1,,,,,,,,,,,,,,,,,,,4614,177,1955,3612,3861,4614,177,3355,2543,173,2977,3040,197,451,5251,173,,,𗖵,𗵆,𘝞,𗫂,𗫦,𗖵,𗵆,𗣼,𘝦,𗵘,𗭍,𗭪,𘟂,𗟲,𘒣,𗵘,,,bju1,sjɨj1,·jwɨr2,tja1,ɣiew1,bju1,sjɨj1,tśhja2,dźjɨ̣2,tśja1,dźjịj1,sji2,ŋwu2,ŋwuu1,dạ2,tśja1,,,以,成；,文,者，,學,以,成。,德　行,,道,行,用以,COP；,言,語,道,,文則成之以學。德行所以行道，言語所以明道，,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0602b2,,,,,,,,,,,,,,,,,,,5607,3040,197,X1562,4777,4105,5298,3040,197,1955,3861,173,3861,3040,197,4584,,,𗏴,𗭪,𘟂,𗹒,𘅣,𘓐,𘇚,𗭪,𘟂,𘝞,𗫦,𗵘,𗫦,𗭪,𘟂,𗕸,,,dźju1,sji2,ŋwu2,---,dạ2,dzjwo2,mjii2,sji2,ŋwu2,·jwɨr2,ɣiew1,tśja1,ɣiew1,sji2,ŋwu2,tśhjow1,,,明,用以,COP；,政,事,人,治,用以,COP；,文,學,道,學,用以,COP。,[仲],
政事則治人而已，文學則道學而已。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602b3,,,,,,,,,,,,,,,,,,,650,1,494,1309,3612,455,457,197,5070,2422,4584,650,1,501,3591,3612,,,𗌵,𗄈,𗠒,𗹭,𗫂,𘓷,𘓳,𘟂,𘓊,𘃞,𗕸,𗌵,𗄈,𗠡,𗤢,𗫂,,,kjow1,sjwo1,bjɨ1,bjij2,tja1,kwər1,ŋowr2,ŋwu2,zjɨɨr1,ljɨ1,tśhjow1,kjow1,sjwo1,bjɨ1,bji2,tja1,
,[弓],由,　上,,者，,體,備,COP,微,也。,[仲],[弓],由,　下,,者，,,由仲弓而上，則具體而微者也；由仲弓而下，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602b4,,,,,,,,,,,,,,,,,,,1075,751,309,197,2422,4310,455,457,5070,3612,2834,455,457,5070,1175,1899,,,𘈩,𗛆,𗟧,𘟂,𘃞,𗋕,𘓷,𘓳,𘓊,𗫂,𗯮,𘓷,𘓳,𘓊,𗡶,𘁟,
,lew1,war2,rjir2,ŋwu2,ljɨ1,thja1,kwər1,ŋowr2,zjɨɨr1,tja1,thwuu1,kwər1,ŋowr2,zjɨɨr1,śjij1,do2,,,一,枝,得,COP,也。,其,體,具,微 ,者，,同；,體,具,微,法,異。,,則得其一體者也。其具體而微則同，其所以具體而微則異。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602b5,,,,,,,,,,,,,,,,,,,5009,3699,5722,2427,1776,3059,5608,1693,1854,4584,650,4310,1075,751,309,3612,
